File Name,Size (KB),Type,Modified Time,Path
ror2-junk-meteor_text_assets_all.bundle,3.55,.bundle,2025-05-14 15:15:07.397900,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-meteor_text_assets_all.bundle
ror2-junk-minimushroom_bin_assets_all.bundle,9.59,.bundle,2025-05-14 15:15:07.863732,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-minimushroom_bin_assets_all.bundle
ror2-junk-minimushroom_text_assets_all.bundle,32.95,.bundle,2025-05-14 15:15:08.168127,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-minimushroom_text_assets_all.bundle
ror2-junk-misc_bin_assets_all.bundle,158.46,.bundle,2025-05-14 15:15:09.265865,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-misc_bin_assets_all.bundle
ror2-junk-misc_text_assets_all.bundle,149.82,.bundle,2025-05-14 15:15:09.424380,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-misc_text_assets_all.bundle
ror2-junk-missile_text_assets_all.bundle,33.86,.bundle,2025-05-14 15:15:08.118990,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-missile_text_assets_all.bundle
ror2-junk-monstersonshrineuse_text_assets_all.bundle,35.15,.bundle,2025-05-14 15:15:08.233127,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-monstersonshrineuse_text_assets_all.bundle
ror2-junk-moon2_text_assets_all.bundle,3.05,.bundle,2025-05-14 15:15:07.305526,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-moon2_text_assets_all.bundle
ror2-junk-mushroom_text_assets_all.bundle,5.4,.bundle,2025-05-14 15:15:07.503796,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-mushroom_text_assets_all.bundle
ror2-junk-novaonheal_text_assets_all.bundle,3.51,.bundle,2025-05-14 15:15:07.477797,C:\Bhavin\Risk of Rain 2\Risk.of.Rain.2.v1.3.8-OFME\Risk of Rain 2\Risk of Rain 2_Data\StreamingAssets\aa\StandaloneWindows64\ror2-junk-novaonheal_text_assets_all.bundle
